dataset,legislature,segment,pshift,shift_class,global_probability,total_frequency,total_transitions
final_dataset,13,1,AB-XY,Turn Usurping,0.0,0,160
final_dataset,13,2,A0-X0,Turn Claiming,0.4876543209876543,79,162
final_dataset,13,2,A0-XA,Turn Claiming,0.2222222222222222,36,162
final_dataset,13,2,AB-B0,Turn Receiving,0.14814814814814814,24,162
final_dataset,13,2,AB-BA,Turn Receiving,0.06790123456790123,11,162
final_dataset,13,2,AB-XA,Turn Usurping,0.043209876543209874,7,162
final_dataset,13,2,AB-X0,Turn Usurping,0.030864197530864196,5,162
final_dataset,13,2,A0-AY,Turn Continuing,0.0,0,162
final_dataset,13,2,A0-XY,Turn Claiming,0.0,0,162
final_dataset,13,2,AB-A0,Turn Continuing,0.0,0,162
final_dataset,13,2,AB-AY,Turn Continuing,0.0,0,162
final_dataset,13,2,AB-BY,Turn Receiving,0.0,0,162
final_dataset,13,2,AB-XB,Turn Usurping,0.0,0,162
final_dataset,13,2,AB-XY,Turn Usurping,0.0,0,162
final_dataset,13,3,A0-X0,Turn Claiming,0.5308641975308642,86,162
final_dataset,13,3,AB-B0,Turn Receiving,0.19753086419753085,32,162
final_dataset,13,3,A0-XA,Turn Claiming,0.17901234567901234,29,162
final_dataset,13,3,AB-XA,Turn Usurping,0.05555555555555555,9,162
final_dataset,13,3,AB-BA,Turn Receiving,0.030864197530864196,5,162
final_dataset,13,3,AB-X0,Turn Usurping,0.006172839506172839,1,162
final_dataset,13,3,A0-AY,Turn Continuing,0.0,0,162
final_dataset,13,3,A0-XY,Turn Claiming,0.0,0,162
final_dataset,13,3,AB-A0,Turn Continuing,0.0,0,162
final_dataset,13,3,AB-AY,Turn Continuing,0.0,0,162
final_dataset,13,3,AB-BY,Turn Receiving,0.0,0,162
final_dataset,13,3,AB-XB,Turn Usurping,0.0,0,162
final_dataset,13,3,AB-XY,Turn Usurping,0.0,0,162
final_dataset,14,1,A0-X0,Turn Claiming,0.8354430379746836,132,158
final_dataset,14,1,A0-XA,Turn Claiming,0.08227848101265822,13,158
final_dataset,14,1,AB-B0,Turn Receiving,0.0759493670886076,12,158
final_dataset,14,1,AB-X0,Turn Usurping,0.006329113924050633,1,158
final_dataset,14,1,A0-AY,Turn Continuing,0.0,0,158
final_dataset,14,1,A0-XY,Turn Claiming,0.0,0,158
final_dataset,14,1,AB-A0,Turn Continuing,0.0,0,158
final_dataset,14,1,AB-AY,Turn Continuing,0.0,0,158
final_dataset,14,1,AB-BA,Turn Receiving,0.0,0,158
final_dataset,14,1,AB-BY,Turn Receiving,0.0,0,158
final_dataset,14,1,AB-XA,Turn Usurping,0.0,0,158
final_dataset,14,1,AB-XB,Turn Usurping,0.0,0,158
final_dataset,14,1,AB-XY,Turn Usurping,0.0,0,158
final_dataset,14,2,A0-X0,Turn Claiming,0.7839506172839507,127,162
final_dataset,14,2,A0-XA,Turn Claiming,0.08641975308641975,14,162
final_dataset,14,2,AB-B0,Turn Receiving,0.06790123456790123,11,162
final_dataset,14,2,AB-BA,Turn Receiving,0.030864197530864196,5,162
final_dataset,14,2,AB-X0,Turn Usurping,0.018518518518518517,3,162
final_dataset,14,2,AB-A0,Turn Continuing,0.006172839506172839,1,162
final_dataset,14,2,AB-XA,Turn Usurping,0.006172839506172839,1,162
final_dataset,14,2,A0-AY,Turn Continuing,0.0,0,162
final_dataset,14,2,A0-XY,Turn Claiming,0.0,0,162
final_dataset,14,2,AB-AY,Turn Continuing,0.0,0,162
final_dataset,14,2,AB-BY,Turn Receiving,0.0,0,162
final_dataset,14,2,AB-XB,Turn Usurping,0.0,0,162
final_dataset,14,2,AB-XY,Turn Usurping,0.0,0,162
final_dataset,14,3,A0-X0,Turn Claiming,0.7407407407407407,120,162
final_dataset,14,3,A0-XA,Turn Claiming,0.10493827160493827,17,162
final_dataset,14,3,AB-B0,Turn Receiving,0.09876543209876543,16,162
final_dataset,14,3,AB-BA,Turn Receiving,0.018518518518518517,3,162
final_dataset,14,3,AB-X0,Turn Usurping,0.018518518518518517,3,162
final_dataset,14,3,AB-XA,Turn Usurping,0.012345679012345678,2,162
final_dataset,14,3,AB-A0,Turn Continuing,0.006172839506172839,1,162
final_dataset,14,3,A0-AY,Turn Continuing,0.0,0,162
final_dataset,14,3,A0-XY,Turn Claiming,0.0,0,162
final_dataset,14,3,AB-AY,Turn Continuing,0.0,0,162
final_dataset,14,3,AB-BY,Turn Receiving,0.0,0,162
final_dataset,14,3,AB-XB,Turn Usurping,0.0,0,162
final_dataset,14,3,AB-XY,Turn Usurping,0.0,0,162
